LLM,topic,experiment,if_base,稳态轮次,达成共识轮次,共识观点,末轮观点分布,末轮平均观点,agent1_posi,agent1_negi,agent1_poss,agent1_negs,agent2_posi,agent2_negi,agent2_poss,agent2_negs,agent3_posi,agent3_negi,agent3_poss,agent3_negs,agent4_posi,agent4_negi,agent4_poss,agent4_negs,agent5_posi,agent5_negi,agent5_poss,agent5_negs,agent6_posi,agent6_negi,agent6_poss,agent6_negs,rumor,truth
DeepSeek-V3.2,1,-4,1,1,11,False,polar,0.0,0.0,0.0,0.0,-0.8333333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,-0.8333333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,2,6
DeepSeek-V3.2,1,-3,1,1,11,False,polar,-0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,-0.8333333333333334,0.0,3.3333333333333335,0.0,0.0,6,1
DeepSeek-V3.2,1,-2,1,2,11,False,polar,-0.3333333333333333,0.0,0.0,-0.6944444444444445,0.0,0.6944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,-0.8333333333333334,0.0,2.5,0.0,0.0,6,2
DeepSeek-V3.2,1,-1,1,1,11,False,polar,-0.3333333333333333,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,-0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,0.0,-0.8333333333333334,0.0,2.5,0.0,0.0,6,3
DeepSeek-V3.2,1,0,1,1,11,False,polar,-0.6666666666666666,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333334,0.0,3.3333333333333335,0.0,0.0,6,4
DeepSeek-V3.2,1,1,0,10,11,False,-1_0_1,0.3333333333333333,0.0,0.0,0.0,0.0,0.6594564951486266,0.0,0.0,0.0,0.0,0.0,-0.1615055828898458,0.0,0.0,0.0,0.0,0.0,0.0807527914449229,0.0,-0.5787037037037037,0.0,0.0,0.0,0.0,0.0,1,2
DeepSeek-V3.2,1,2,0,8,11,False,polar,0.3333333333333333,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,-0.2325680393613779,0.0,0.9115079478483972,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333334,0.07752267978712597,0.0,-0.2790816472336535,0.0,0.2170635034039527,0.0,-0.6944444444444445,0.0,1,3
DeepSeek-V3.2,1,3,0,6,11,False,polar,0.6666666666666666,0.0,0.0,0.0,0.0,0.31520597565157754,0.0,-0.8333333333333334,0.0,0.0,0.0,-0.3348979766803842,0.0,1.9818726423182444,0.0,0.0,0.0,0.31520597565157754,0.0,-0.8333333333333334,0.0,0.08372449417009604,0.0,-0.6944444444444445,0.0,1,4
DeepSeek-V3.2,1,4,0,2,11,False,-1_0_1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.6944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6944444444444445,0.0,1.527777777777778,0.0,0.0,0.0,0.6944444444444445,0.0,-0.8333333333333334,0.0,1,5
DeepSeek-V3.2,1,5,0,6,11,False,polar,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.3348979766803842,0.0,0.24447552297668046,0.0,-0.5787037037037037,0.0,0.5338273748285323,0.0,-0.6944444444444445,0.0,0.08372449417009604,0.0,-0.4822530864197532,0.0,1.2282718192729767,0.0,0.0,0.0,1,6
DeepSeek-V3.2,1,6,0,10,11,False,-1_0_1,0.1666666666666666,0.9140861247782562,0.0,0.0,0.0,0.0,0.6944444444444445,0.0,0.0,0.0807527914449229,0.0,-0.8333333333333334,0.0,0.0,0.0,0.0,-0.6944444444444445,0.0,0.0,-0.1615055828898458,0.0,0.0,0.0,0.0,0.0,2,1
DeepSeek-V3.2,1,7,0,4,11,False,-1_0_1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1445473251028808,0.0,0.0,0.0,0.0,0.0,-0.4822530864197532,0.0,0.1607510288065844,0.0,-0.5787037037037037,0.0,0.4501028806584363,0.0,-0.6944444444444445,0.0,2,3
DeepSeek-V3.2,1,8,0,6,11,False,-1_0_1,0.5,0.1116326588934614,0.0,-0.40187757201646096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3348979766803842,0.0,1.1459047782350251,0.0,0.0,0.0,0.31257144490169186,0.0,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,2,4
DeepSeek-V3.2,1,9,0,10,11,False,-1_0_1,0.5,0.40105741651883753,0.0,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1615055828898458,0.0,0.05383519429661526,0.0,-0.6944444444444445,0.0,1.234390749852171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
DeepSeek-V3.2,1,10,0,9,11,False,-1_0_1,0.5,0.06460223315593831,0.0,-0.6944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4118244553781606,0.0,-0.8333333333333334,0.0,0.0,0.0,-0.19380669946781492,0.0,1.245157788711494,0.0,0.0,0.0,2,6
DeepSeek-V3.2,1,11,0,7,11,False,polar,0.6666666666666666,1.3842851580361226,0.0,0.0,0.0,0.5509518247027893,0.0,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.203729602480567,0.0,-0.6944444444444445,0.0,0.0,0.0,-0.2790816472336535,0.0,0.06977041180841337,0.0,-0.40187757201646096,0.0,3,1
DeepSeek-V3.2,1,12,0,4,11,False,polar,0.6666666666666666,0.0,0.0,-0.4822530864197532,0.0,1.4940200617283952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606867283950618,0.0,-0.8333333333333334,0.0,0.3134645061728395,0.0,-0.6944444444444445,0.0,0.1205632716049383,0.0,-0.5787037037037037,0.0,3,2
DeepSeek-V3.2,1,13,0,5,11,False,polar,0.6666666666666666,0.10046939300411524,0.0,-0.4822530864197532,0.0,0.5827224794238683,0.0,-0.6944444444444445,0.0,0.0,0.0,0.0,0.0,1.277166923868313,0.0,0.0,0.0,0.0,0.0,-0.40187757201646096,0.0,0.10046939300411524,0.0,-0.4822530864197532,0.0,3,4
DeepSeek-V3.2,1,14,0,3,11,False,polar,0.6666666666666666,0.0,0.0,-0.5787037037037037,0.0,0.0,0.0,-0.5787037037037037,0.0,0.0,0.0,0.0,0.0,0.7330246913580247,0.0,-0.8333333333333334,0.0,1.5663580246913582,0.0,0.0,0.0,0.38580246913580246,0.0,-0.6944444444444445,0.0,3,5
DeepSeek-V3.2,1,15,0,1,11,False,-1_0_1,-0.1666666666666666,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6
DeepSeek-V3.2,1,16,0,1,11,False,-1_0_1,-0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1
DeepSeek-V3.2,1,17,0,10,10,1,consistent,1.0,0.1165852125538431,0.0,-0.19380669946781492,0.0,1.16017699651713,0.0,0.0,0.0,0.08428409597587394,0.0,-0.1615055828898458,0.0,0.15827547123204888,0.0,-0.5899886718311176,0.0,0.16503688742079684,0.0,-0.2325680393613779,0.0,0.32684366318379676,0.0,-0.8333333333333334,0.0,4,2
DeepSeek-V3.2,1,18,0,3,11,False,polar,0.3333333333333333,0.0,0.0,0.0,-0.8333333333333334,0.5401234567901235,0.0,-0.8333333333333334,0.0,1.373456790123457,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,-0.5787037037037037,0.0,0.19290123456790123,0.0,-0.6944444444444445,0.0,4,3
